 Name of the Monument , Latitude , Longitude ,City
 Taj Mahal ,27.172222,78.576111,Agra
 Agra Fort ,27.180556,78.038056,Agra
 Fatehpur Sikri ,27.225278,78.019722,Agra
 Akbar Tomb Sikandra ,27.244722,78.016389,Agra
 Mariam tomb Sikandra ,27.244722,78.016389,Agra
 Itimad-ud-Daulah-Tomb ,27.244722,78.016389,Agra
 Ram Bagh ,27.244722,78.016389,Agra
 Mehtab Bagh ,27.244722,78.016389,Agra
 Mausoleum ,27.244722,78.016389,Agra
 Site of Sahet mahet ,24.6375,83.2844,Lucknow
 Residency Building ,24.6375,83.2844,Lucknow
 Piprahwa & Ganwaria ,24.6375,83.2844,Lucknow
" Gupta Temple & Varah Temple, Deogarh ",24.448056,82.636111,Jhansi
 Kalinjar Fort ,24.794444,81.121111,Jhansi
 Rani Lakshmi Bai Mahal ,25.429722,81.893889,Jhansi
 Rani Jhansi Fort ,25.429722,81.893889,Jhansi
 Lord Cornwallis Tomb ,25.235556,82.261111,Sarnath
" Old Fort (Shahi Fort), Jaunpur ",25.422222,82.355556,Sarnath
 Observatory of Man Singh ,25.422222,82.355556,Sarnath
 Excavated Remains at sarnath ,25.422222,82.355556,Sarnath
 Tomb of Lal Khan ,25.422222,82.355556,Sarnath
 Ancient Buddhist Site known as Chaukhandi stupa ,25.422222,82.355556,Sarnath
" Bekal Fort, Pallikkare, Distt. Kasargod ",12.053056,75.238056,Thrissur
 Mattancherry Palace Museum Kochi ,9.955556,76.248056,Thrissur
" Fort, Palakkad, Palakkad ",10.841111,76.836111,Thrissur
" Fort St. Angelo, Kannur ",11.885556,75.298056,Thrissur
 Group of Monuments Mamallapuram ,12.6725,79.8275,Chennai
" Gingee Fort , Gingee ",12.053056,79.238056,Chennai
" Tiger headed Rock cut temple & two other monuments, Saluvankuppam ",12.053056,79.238056,Chennai
" Fort on Rock, Dindigual ",12.053056,79.238056,Tiruchirappalli
" Moovarkoil, Kodumbalur ",12.053056,79.238056,Tiruchirappalli
" Rock-cut Jain Temple, Sittannavasasl ",12.053056,79.238056,Tiruchirappalli
 Tirumalai Nayak's Palace Srivilliputhur ,9.629822,77.661111,Tiruchirappalli
" Natural Caven with inscription eladipattam, Sittannavasal ",11.884878,79.833044,Tiruchirappalli
" Fort Museum, Thirumayam ",9.879167,77.772778,Tiruchirappalli
 Fort Vattakottai ,8.731944,78.0325,Tiruchirappalli
 Buddhist Caves ,23.452622,80.8286,Bhopal
" The palace situated in the fort, Burhanpur ",21.296111,76.134167,Bhopal
 Hoshang Shah's Tomb ,21.296111,76.134167,Bhopal
" Group of monument, Royal Palace Mandu ",22.670278,75.3725,Bhopal
 Roopmati's Pavilion ,22.670278,75.3725,Bhopal
" Buddhist Monuments, Sanchi ",23.482778,78.019722,Bhopal
 Gwalior Fort ,26.256111,78.249444,Bhopal
